date,actTempBurner,actTempFlowFloor,actTempFlowRadiator,actTempHotwater,floorHeatingMixerActPosition,floorHeatingSetFlowTemp,radiatorHeatingMixerActPosition,radiatorHeatingSetFlowTemp
2017.01.21 10:21:52,51.2,38.5,46.0,45.8,57.5,39.0,90.7,46.4
2017.01.21 10:21:56,51.3,38.5,45.9,45.8,57.5,39.0,91.0,46.4
2017.01.21 10:21:56,51.3,38.5,45.9,45.8,57.5,39.0,91.4,46.4
2017.01.21 10:22:06,51.4,38.3,46.1,45.8,59.6,39.0,92.9,46.4
2017.01.21 10:22:16,51.3,38.1,46.0,45.8,61.1,39.0,92.9,46.4
2017.01.21 10:22:26,51.1,38.0,45.6,45.8,61.1,39.0,92.9,46.4
2017.01.21 10:22:36,50.9,37.9,45.3,45.8,61.1,39.0,92.9,46.4
2017.01.21 10:22:47,50.7,38.2,45.1,45.8,61.1,39.0,95.2,46.4
2017.01.21 10:22:57,50.5,39.2,46.4,45.8,61.1,39.0,92.7,46.4
2017.01.21 10:23:07,50.4,39.3,46.5,45.8,61.1,39.0,92.4,46.4
2017.01.21 10:23:17,50.2,39.4,46.6,45.8,61.1,39.0,92.4,46.4
2017.01.21 10:23:27,50.2,39.5,46.7,45.8,61.1,39.0,92.4,46.4
2017.01.21 10:23:37,50.2,39.5,46.8,45.8,58.8,39.0,92.4,46.4
2017.01.21 10:23:47,50.3,39.5,46.9,45.8,57.9,39.0,92.4,46.4
2017.01.21 10:23:57,50.4,39.6,47.0,45.8,57.9,39.0,92.4,46.4
2017.01.21 10:24:07,50.5,39.6,47.1,45.8,57.9,39.0,92.4,46.4
2017.01.21 10:24:17,50.6,39.7,47.2,45.9,57.9,39.0,90.2,46.4
2017.01.21 10:24:27,50.8,39.8,47.1,45.9,57.9,39.0,90.2,46.4
2017.01.21 10:24:37,50.9,39.8,47.1,45.9,57.9,39.0,90.2,46.4
2017.01.21 10:24:47,50.9,38.9,46.4,45.9,57.9,39.0,90.2,46.4
2017.01.21 10:24:57,50.9,38.4,45.5,45.9,57.9,39.0,93.2,46.4
2017.01.21 10:25:07,50.9,38.2,45.4,45.9,57.9,39.0,93.2,46.4
2017.01.21 10:25:18,50.9,38.1,45.3,45.9,61.2,39.0,93.2,46.4
2017.01.21 10:25:28,50.8,39.2,45.9,45.9,61.2,39.0,93.2,46.4
2017.01.21 10:25:38,50.6,39.4,46.4,45.9,57.5,39.0,93.2,46.4
2017.01.21 10:25:48,50.5,39.3,46.5,45.9,57.5,39.0,93.2,46.4
2017.01.21 10:25:58,50.3,39.3,46.4,45.9,57.5,39.0,93.2,46.4
2017.01.21 10:26:08,50.2,39.2,46.3,45.9,57.5,39.0,93.2,46.4
2017.01.21 10:26:18,50.0,39.2,46.2,45.9,57.5,39.0,93.2,46.4
2017.01.21 10:26:28,49.9,39.2,46.2,45.9,57.5,39.0,93.2,46.4
2017.01.21 10:26:38,49.9,39.2,46.2,45.9,57.5,39.0,93.2,46.4
2017.01.21 10:26:48,49.9,39.3,46.2,45.9,57.5,39.0,93.2,46.4
2017.01.21 10:26:58,49.9,39.3,46.4,46.0,57.5,39.0,93.2,46.4
2017.01.21 10:27:08,50.0,39.3,46.4,46.0,57.5,39.0,93.2,46.4
2017.01.21 10:27:18,50.0,39.3,46.4,46.0,57.5,39.0,93.2,46.4
2017.01.21 10:27:28,50.0,39.3,46.4,46.0,57.5,39.0,93.2,46.4
2017.01.21 10:27:38,50.1,39.4,46.5,46.0,57.5,39.0,93.2,46.4
2017.01.21 10:27:48,50.1,39.4,46.6,46.0,57.5,39.0,93.2,46.4
2017.01.21 10:27:59,50.2,39.4,46.7,46.0,57.5,39.0,93.2,46.4
2017.01.21 10:28:09,50.2,39.4,46.6,46.0,57.5,39.0,93.2,46.4
2017.01.21 10:28:19,50.2,39.4,46.6,46.0,57.5,38.9,93.2,46.3
2017.01.21 10:28:29,50.3,39.4,46.7,46.0,57.5,38.9,93.2,46.3
2017.01.21 10:28:39,50.4,39.5,46.8,46.0,57.5,38.9,91.0,46.3
2017.01.21 10:28:49,50.5,38.6,46.8,46.0,54.7,38.9,91.0,46.3
2017.01.21 10:28:59,50.5,38.5,46.9,46.0,57.0,38.9,91.0,46.3
2017.01.21 10:29:09,50.7,38.5,47.1,46.0,57.8,38.9,91.0,46.3
2017.01.21 10:29:19,50.8,38.6,47.2,46.0,57.8,38.9,91.0,46.3
2017.01.21 10:29:29,50.9,38.6,47.4,46.0,57.8,38.9,91.0,46.3
2017.01.21 10:29:39,51.1,38.4,47.4,46.0,57.8,38.9,88.7,46.3
2017.01.21 10:29:49,51.2,37.5,46.0,46.0,59.5,38.9,91.3,46.3
2017.01.21 10:29:59,51.4,38.4,45.8,46.0,61.7,38.9,91.8,46.3
2017.01.21 10:30:09,51.5,38.4,45.7,46.0,61.7,38.9,91.8,46.3
2017.01.21 10:30:19,51.5,38.2,45.6,46.0,61.7,38.9,91.8,46.3
2017.01.21 10:30:29,51.4,38.0,45.2,45.9,61.7,38.9,91.8,46.3
2017.01.21 10:30:40,51.2,37.8,45.2,45.9,61.7,38.9,94.2,46.3
2017.01.21 10:30:50,51.0,37.7,45.2,45.9,61.7,38.9,94.2,46.3
2017.01.21 10:31:00,50.7,38.9,45.9,45.9,61.7,38.9,94.2,46.3
2017.01.21 10:31:10,50.5,39.1,46.3,46.0,61.7,38.9,93.9,46.3
2017.01.21 10:31:20,50.3,39.2,46.4,46.0,58.7,38.9,91.9,46.3
2017.01.21 10:31:30,50.2,39.1,46.4,46.0,58.2,38.9,91.9,46.3
2017.01.21 10:31:40,50.1,39.2,46.5,46.0,58.2,38.9,91.9,46.3
2017.01.21 10:31:50,50.2,39.2,46.6,46.0,58.2,38.9,91.9,46.3
2017.01.21 10:32:00,50.3,39.3,46.8,46.0,58.2,38.9,91.9,46.3
2017.01.21 10:32:10,50.4,39.4,46.9,46.0,58.2,38.9,91.9,46.3
2017.01.21 10:32:20,50.5,39.4,47.1,46.0,58.2,38.9,91.9,46.3
2017.01.21 10:32:30,50.7,39.5,47.1,46.0,58.2,38.9,89.6,46.3
2017.01.21 10:32:40,50.8,39.5,47.1,46.0,58.2,38.9,89.6,46.3
2017.01.21 10:32:50,50.9,39.6,47.1,46.0,58.2,38.9,89.6,46.3
2017.01.21 10:33:00,51.0,39.5,47.0,46.0,58.2,38.9,89.6,46.3
2017.01.21 10:33:10,51.0,39.5,46.9,46.0,58.2,38.9,89.6,46.3
2017.01.21 10:33:20,51.0,39.5,46.9,46.0,58.2,38.9,89.6,46.3
2017.01.21 10:33:30,51.1,38.5,46.0,46.0,58.2,38.9,89.6,46.3
2017.01.21 10:33:40,51.2,38.2,45.4,46.0,58.2,38.9,92.4,46.3
2017.01.21 10:33:50,51.2,38.1,45.5,46.0,58.2,38.9,92.4,46.3
2017.01.21 10:34:00,51.2,37.9,45.4,46.0,58.2,38.9,92.4,46.2
2017.01.21 10:34:11,51.0,37.7,45.1,46.0,62.0,38.9,92.4,46.3
2017.01.21 10:34:21,50.8,39.2,45.8,46.0,57.9,38.9,92.4,46.2
2017.01.21 10:34:31,50.6,39.1,46.0,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:34:41,50.3,39.0,46.1,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:34:51,50.1,39.0,46.1,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:35:01,50.0,39.0,46.0,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:35:11,49.9,39.0,46.0,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:35:21,49.8,39.0,46.0,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:35:31,49.8,39.0,46.1,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:35:41,49.8,39.1,46.1,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:35:51,49.9,39.2,46.3,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:36:01,50.0,39.3,46.5,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:36:11,50.1,39.5,46.5,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:36:22,50.2,39.7,46.4,46.1,57.5,38.9,92.4,46.2
2017.01.21 10:36:32,50.4,39.8,46.5,46.1,57.0,38.9,92.4,46.2
2017.01.21 10:36:42,50.5,38.8,46.8,46.1,54.6,38.9,92.4,46.2
2017.01.21 10:36:52,50.7,38.7,47.1,46.1,54.6,38.9,89.9,46.2
2017.01.21 10:37:02,50.8,38.7,47.1,46.1,54.6,38.9,89.9,46.2
2017.01.21 10:37:12,50.9,38.7,47.1,46.1,57.7,38.9,89.9,46.2
2017.01.21 10:37:22,51.0,38.7,47.1,46.1,57.7,38.9,89.9,46.2
2017.01.21 10:37:32,51.1,38.8,47.2,46.1,57.7,38.9,89.9,46.2
2017.01.21 10:37:42,51.2,38.2,47.1,46.1,57.7,38.9,89.9,46.2
2017.01.21 10:37:52,51.4,37.7,45.5,46.1,61.3,38.9,89.9,46.2
2017.01.21 10:38:02,51.6,38.5,45.0,46.1,61.3,38.9,92.7,46.2
2017.01.21 10:38:12,51.8,38.5,45.1,46.1,61.3,38.9,92.7,46.2
2017.01.21 10:38:22,51.8,38.4,45.0,46.1,61.3,38.9,92.7,46.2
2017.01.21 10:38:32,51.6,38.2,44.9,46.2,61.3,38.9,92.7,46.2
2017.01.21 10:38:42,51.5,38.1,44.6,46.2,61.3,38.9,94.3,46.2
2017.01.21 10:38:52,51.3,38.0,44.9,46.2,61.3,38.9,95.1,46.2
2017.01.21 10:39:03,51.1,38.7,45.1,46.2,61.3,38.9,95.1,46.2
2017.01.21 10:39:13,50.9,39.3,46.3,46.2,59.0,38.9,92.2,46.2
2017.01.21 10:39:23,50.7,39.3,46.6,46.2,57.5,38.9,92.2,46.2
2017.01.21 10:39:33,50.6,39.3,46.8,46.2,57.5,38.9,92.2,46.2
2017.01.21 10:39:43,50.6,39.4,46.9,46.2,57.5,38.9,92.2,46.2
2017.01.21 10:39:53,50.6,39.4,47.1,46.2,57.5,38.9,92.2,46.2
2017.01.21 10:40:03,50.6,39.4,47.0,46.2,57.5,38.9,90.1,46.2
2017.01.21 10:40:13,50.7,39.4,46.8,46.2,57.5,38.9,90.1,46.2
2017.01.21 10:40:23,50.7,39.4,46.7,46.2,57.5,38.9,90.1,46.2
2017.01.21 10:40:33,50.8,39.5,46.8,46.2,57.5,38.9,90.1,46.2
2017.01.21 10:40:43,50.9,39.6,46.9,46.3,57.5,38.9,90.1,46.2
2017.01.21 10:40:53,51.1,39.7,47.1,46.3,57.5,38.9,90.1,46.2
2017.01.21 10:41:03,51.2,39.1,47.3,46.3,54.4,38.9,90.1,46.2
2017.01.21 10:41:13,51.4,38.8,47.5,46.3,54.4,38.9,90.1,46.2
2017.01.21 10:41:23,51.5,37.8,46.2,46.3,60.2,38.9,90.1,46.2
2017.01.21 10:41:33,51.7,38.2,45.3,46.3,60.4,38.8,92.3,46.2
2017.01.21 10:41:43,51.9,38.2,45.3,46.3,60.4,38.8,93.2,46.2
2017.01.21 10:41:54,52.0,38.2,45.5,46.3,60.4,38.8,93.2,46.2
2017.01.21 10:42:04,51.9,38.1,45.5,46.3,60.4,38.8,93.2,46.2
2017.01.21 10:42:14,51.8,38.0,45.3,46.3,60.4,38.8,93.2,46.2
2017.01.21 10:42:24,51.7,38.0,45.2,46.3,60.4,38.8,93.2,46.2
