date,actTempOutsideNorth,burnerDailyOperatingHours
2017.01.19 00:00:00,-6.0,5.3
2017.01.20 00:00:00,-7.0,8.7
2017.01.21 00:00:00,-10.0,7.6
2017.01.22 00:00:00,-11.6,6.3
2017.01.23 00:00:00,-12.2,11.7
2017.01.24 00:00:00,-13.3,10.0
2017.01.25 00:00:00,-9.3,11.4
2017.01.26 00:00:00,-5.0,8.5
2017.01.27 00:00:00,-6.6,11.1
2017.01.28 00:00:00,-8.6,10.0
2017.01.29 00:00:00,-10.8,8.1
2017.01.30 00:00:00,-8.5,7.6
2017.01.31 00:00:00,-2.2,10.3
2017.02.01 00:00:00,0.3,8.3
2017.02.02 00:00:00,-0.3,7.4
2017.02.03 00:00:00,-1.6,5.9
2017.02.04 00:00:00,1.3,5.8
2017.02.05 00:00:00,2.6,5.5
2017.02.06 00:00:00,1.2,6.0
