date,mixPosActFloor,mixPosActRad,mixStateFloor,mixStateRad
2016.11.11 22:14:35,23.0,23.0,1.0,1.0
2016.11.11 22:14:36,31.0,31.0,1.0,1.0
2016.11.11 22:14:37,41.0,41.0,1.0,1.0
2016.11.11 22:14:38,51.0,51.0,2.0,2.0
2016.11.11 22:14:39,62.0,62.0,2.0,2.0
2016.11.11 22:14:40,72.0,72.0,2.0,2.0
2016.11.11 22:14:41,82.0,82.0,2.0,2.0
2016.11.11 22:14:42,93.0,93.0,2.0,2.0
2016.11.11 22:14:43,4.0,4.0,0.0,0.0
2016.11.11 22:14:44,14.0,14.0,1.0,1.0
2016.11.11 22:14:45,25.0,25.0,1.0,1.0
2016.11.11 22:14:46,36.0,36.0,1.0,1.0
2016.11.11 22:14:48,47.0,47.0,1.0,1.0
2016.11.11 22:14:49,58.0,58.0,2.0,2.0
2016.11.11 22:14:50,68.0,68.0,2.0,2.0
2016.11.11 22:14:51,78.0,78.0,2.0,2.0
2016.11.11 22:14:52,89.0,89.0,2.0,2.0
2016.11.11 22:14:53,1.0,1.0,0.0,0.0
2016.11.11 22:14:54,12.0,12.0,1.0,1.0
2016.11.11 22:14:55,22.0,22.0,1.0,1.0
2016.11.11 22:14:59,63.0,63.0,2.0,2.0
2016.11.11 22:15:00,74.0,74.0,2.0,2.0
2016.11.11 22:15:01,85.0,85.0,2.0,2.0
2016.11.11 22:15:02,96.0,96.0,2.0,2.0
2016.11.11 22:15:03,7.0,7.0,0.0,0.0
2016.11.11 22:15:04,18.0,18.0,1.0,1.0
2016.11.11 22:15:06,29.0,29.0,1.0,1.0
2016.11.11 22:15:07,39.0,39.0,1.0,1.0
2016.11.11 22:15:08,49.0,49.0,1.0,1.0
2016.11.11 22:15:09,60.0,60.0,2.0,2.0
2016.11.11 22:15:10,71.0,71.0,2.0,2.0
2016.11.11 22:15:13,9.0,9.0,0.0,0.0
2016.11.11 22:15:15,20.0,20.0,1.0,1.0
2016.11.11 22:15:16,31.0,31.0,1.0,1.0
2016.11.11 22:15:17,42.0,42.0,1.0,1.0
2016.11.11 22:15:18,53.0,53.0,2.0,2.0
2016.11.11 22:15:19,64.0,64.0,2.0,2.0
2016.11.11 22:15:20,75.0,75.0,2.0,2.0
2016.11.11 22:15:21,86.0,86.0,2.0,2.0
2016.11.11 22:15:22,97.0,97.0,2.0,2.0
2016.11.11 22:15:23,9.0,9.0,0.0,0.0
2016.11.11 22:15:24,19.0,19.0,1.0,1.0
2016.11.11 22:15:25,29.0,29.0,1.0,1.0
2016.11.11 22:15:26,40.0,40.0,1.0,1.0
2016.11.11 22:15:27,50.0,50.0,2.0,2.0
2016.11.11 22:15:29,61.0,61.0,2.0,2.0
2016.11.11 22:15:30,72.0,72.0,2.0,2.0
2016.11.11 22:15:31,82.0,82.0,2.0,2.0
2016.11.11 22:15:32,93.0,93.0,2.0,2.0
2016.11.11 22:15:33,4.0,4.0,0.0,0.0
2016.11.11 22:15:34,15.0,15.0,1.0,1.0
2016.11.11 22:15:35,26.0,26.0,1.0,1.0
2016.11.11 22:15:36,36.0,36.0,1.0,1.0
2016.11.11 22:15:37,47.0,47.0,1.0,1.0
2016.11.11 22:15:38,57.0,57.0,2.0,2.0
2016.11.11 22:15:39,68.0,68.0,2.0,2.0
2016.11.11 22:15:40,79.0,79.0,2.0,2.0
2016.11.11 22:15:41,89.0,89.0,2.0,2.0
2016.11.11 22:15:42,1.0,1.0,0.0,0.0
2016.11.11 22:15:43,12.0,12.0,1.0,1.0
2016.11.11 22:15:45,23.0,23.0,1.0,1.0
2016.11.11 22:15:46,33.0,33.0,1.0,1.0
2016.11.11 22:15:47,44.0,44.0,1.0,1.0
2016.11.11 22:15:48,55.0,55.0,2.0,2.0
2016.11.11 22:15:49,66.0,66.0,2.0,2.0
2016.11.11 22:15:50,76.0,76.0,2.0,2.0
2016.11.11 22:15:51,87.0,87.0,2.0,2.0
2016.11.11 22:15:52,98.0,98.0,2.0,2.0
2016.11.11 22:15:53,9.0,9.0,0.0,0.0
2016.11.11 22:15:54,20.0,20.0,1.0,1.0
2016.11.11 22:15:55,30.0,30.0,1.0,1.0
2016.11.11 22:15:56,40.0,40.0,1.0,1.0
2016.11.11 22:15:57,51.0,51.0,2.0,2.0
