date,mixPosActFloor,mixStateFloor
2016.11.21 22:49:28,0.0,0.0
2016.11.21 22:49:33,26.25,0.0
2016.11.21 22:49:38,73.6,1.0
2016.11.21 22:49:43,28.2,0.2
2016.11.21 22:49:49,62.0,0.8
2016.11.21 23:07:02,0.0,0.0
2016.11.21 23:07:07,26.0,0.0
2016.11.21 23:07:26,0.0,0.0
2016.11.21 23:07:31,27.25,0.0
2016.11.21 23:07:36,67.6,0.8
2016.11.21 23:07:41,21.2,0.0
2016.11.21 23:07:46,75.2,1.0
2016.11.21 23:07:51,24.75,0.0
2016.11.21 23:07:56,72.2,1.0
2016.11.21 23:08:01,27.0,0.0
2016.11.21 23:08:06,60.4,0.8
2016.11.21 23:08:11,28.75,0.0
2016.11.21 23:08:16,58.0,0.8
2016.11.21 23:08:22,32.2,0.2
2016.11.21 23:08:33,0.0,0.0
2016.11.21 23:09:12,0.0,0.0
2016.11.21 23:09:17,27.5,0.0
2016.11.21 23:26:45,0.0,0.0
2016.11.21 23:28:14,1.0,0.0
2016.11.21 23:28:19,24.75,0.0
2016.11.21 23:28:24,71.6,1.0
2016.11.21 23:28:29,25.4,0.0
2016.11.21 23:28:34,59.2,0.8
2016.11.21 23:28:39,29.5,0.0
2016.11.21 23:28:44,59.0,0.8
2016.11.21 23:28:49,31.6,0.2
2016.11.21 23:28:54,80.5,1.0
2016.11.21 23:28:59,29.8,0.2
2016.11.21 23:29:04,63.2,0.8
2016.11.21 23:29:09,37.8,0.2
2016.11.21 23:29:14,61.0,0.75
2016.11.21 23:29:19,34.2,0.2
2016.11.21 23:29:24,67.8,0.8
2016.11.21 23:29:29,42.6,0.4
2016.11.21 23:29:35,65.75,0.75
2016.11.21 23:29:40,39.8,0.4
2016.11.21 23:29:45,53.6,0.6
2016.11.21 23:29:50,42.0,0.25
2016.11.21 23:29:55,51.2,0.6
2016.11.21 23:30:00,45.2,0.4
2016.11.21 23:30:05,58.8,0.6
2016.11.21 23:30:10,48.25,0.5
2016.11.21 23:30:15,56.2,0.6
2016.11.21 23:30:20,49.8,0.6
2016.11.21 23:30:25,42.6,0.4
2016.11.21 23:30:30,55.8,0.6
2016.11.21 23:30:35,30.25,0.25
2016.11.21 23:30:40,53.0,0.6
2016.11.21 23:30:54,0.0,0.0
2016.11.21 23:30:59,25.75,0.0
2016.11.21 23:31:04,73.2,1.0
2016.11.21 23:31:10,25.8,0.0
2016.11.21 23:31:15,58.8,0.8
2016.11.21 23:31:20,31.4,0.2
2016.11.21 23:31:25,65.0,0.8
2016.11.21 23:31:30,33.5,0.25
2016.11.21 23:31:35,61.8,0.8
2016.11.21 23:31:40,35.0,0.2
2016.11.21 23:31:45,48.8,0.6
2016.11.21 23:31:50,37.5,0.25
2016.11.21 23:31:55,66.4,0.8
2016.11.21 23:32:00,40.6,0.4
2016.11.21 23:32:05,53.2,0.6
2016.11.21 23:32:10,42.5,0.25
2016.11.21 23:32:15,50.8,0.6
2016.11.21 23:32:20,44.8,0.4
2016.11.21 23:32:26,44.0,0.5
2016.11.21 23:32:31,43.6,0.4
2016.11.21 23:32:36,56.4,0.6
2016.11.21 23:32:41,51.0,0.6
2016.11.21 23:32:46,44.8,0.4
2016.11.21 23:32:51,53.5,0.5
2016.11.21 23:32:56,42.0,0.4
2016.11.21 23:33:01,55.8,0.6
2016.11.21 23:33:06,30.8,0.2
2016.11.21 23:33:11,60.5,0.75
2016.11.21 23:33:17,30.0,0.2
2016.11.21 23:33:22,63.6,0.8
2016.11.21 23:33:27,37.75,0.25
2016.11.21 23:33:32,59.6,0.6
2016.11.21 23:33:37,33.8,0.2
2016.11.21 23:33:42,65.0,0.8
2016.11.21 23:33:47,39.25,0.25
2016.11.21 23:33:52,61.6,0.8
2016.11.21 23:33:57,34.8,0.2
2016.11.21 23:34:02,68.8,0.8
2016.11.21 23:34:07,22.4,0.0
2016.11.21 23:34:12,70.5,1.0
2016.11.21 23:34:17,38.8,0.2
