date,Burner,Flow Floor Act,Flow Floor Set,Flow Radiator Act,Flow Radiator Set,Hotwater,Mixer Floor,Mixer Radiator
2016.12.06 22:13:16,66.5,0.0,22.0,0.0,0.0,56.3,22.7,0.0
2016.12.06 22:13:16,66.5,0.0,22.0,0.0,0.0,56.3,22.7,0.0
2016.12.06 22:13:17,65.0,0.0,22.0,0.0,0.0,56.7,22.7,0.0
2016.12.06 22:13:18,63.5,0.0,22.0,0.0,0.0,56.9,22.7,0.0
2016.12.06 22:13:20,63.4,0.0,22.0,0.0,0.0,57.1,22.7,0.0
2016.12.06 22:13:20,63.8,0.0,22.0,0.0,0.0,57.3,22.7,0.0
2016.12.06 22:13:21,64.4,0.0,22.0,0.0,0.0,57.6,22.7,0.0
2016.12.06 22:13:23,65.0,0.0,22.0,0.0,0.0,57.8,22.7,0.0
2016.12.06 22:13:24,65.5,0.0,22.0,0.0,0.0,58.1,22.7,0.0
2016.12.06 22:13:25,65.9,0.0,22.0,0.0,0.0,58.3,22.7,0.0
2016.12.06 22:13:26,66.4,0.0,22.0,0.0,0.0,58.6,22.7,0.0
2016.12.06 22:13:27,66.9,0.0,22.0,0.0,0.0,58.9,22.7,0.0
2016.12.06 22:13:28,67.4,0.0,22.0,0.0,0.0,59.2,22.7,0.0
2016.12.06 22:13:29,67.8,0.0,22.0,0.0,0.0,59.4,22.7,0.0
2016.12.06 22:13:30,66.1,0.0,22.0,0.0,0.0,59.7,22.7,0.0
2016.12.06 22:13:31,64.5,0.0,22.0,0.0,0.0,59.9,22.7,0.0
2016.12.06 22:13:32,63.0,0.0,22.0,0.0,0.0,60.0,22.7,0.0
2016.12.06 22:13:33,63.4,0.0,22.0,0.0,0.0,60.1,22.7,0.0
2016.12.06 22:13:34,64.0,0.0,22.0,0.0,0.0,60.3,22.7,0.0
2016.12.06 22:13:35,64.6,0.0,22.0,0.0,0.0,60.4,22.7,0.0
2016.12.06 22:13:36,65.1,0.0,22.0,0.0,0.0,60.6,22.7,0.0
2016.12.06 22:13:37,65.6,0.0,22.0,0.0,0.0,60.7,22.7,0.0
2016.12.06 22:13:38,66.1,0.0,22.0,0.0,0.0,60.9,22.7,0.0
2016.12.06 22:13:40,66.6,0.0,22.0,0.0,0.0,61.1,22.7,0.0
2016.12.06 22:13:41,67.1,0.0,22.0,0.0,0.0,61.3,22.7,0.0
2016.12.06 22:13:42,67.5,0.0,22.0,0.0,0.0,61.5,22.7,0.0
2016.12.06 22:13:43,66.8,0.0,22.0,0.0,0.0,61.7,22.7,0.0
2016.12.06 22:13:44,65.2,0.0,22.0,0.0,0.0,61.9,22.7,0.0
2016.12.06 22:13:45,63.6,0.0,22.0,0.0,0.0,62.0,22.7,0.0
