date,actTempBurner,actTempFlowFloor,actTempFlowRadiator,actTempHotwater,floorHeatingMixerActPosition,floorHeatingSetFlowTemp,radiatorHeatingMixerActPosition,radiatorHeatingSetFlowTemp
2016.12.09 21:38:30,65.4,29.0,29.5,58.5,18.9,28.4,23.1,36.3
2016.12.09 21:38:34,67.0,30.2,32.3,59.4,16.5,28.4,25.5,36.3
2016.12.09 21:38:35,65.4,30.3,33.2,59.7,15.8,28.4,26.2,36.3
2016.12.09 21:38:36,63.9,30.3,33.9,59.8,15.1,28.4,26.6,36.3
2016.12.09 21:38:37,63.1,30.3,34.5,60.0,14.3,28.4,26.3,36.3
2016.12.09 21:38:38,63.7,30.2,34.9,60.1,13.7,28.4,25.7,36.3
2016.12.09 21:38:39,64.3,30.0,35.4,60.2,12.9,28.4,24.9,36.3
2016.12.09 21:38:40,64.8,29.8,35.8,60.4,12.2,28.4,24.2,36.3
2016.12.09 21:38:41,65.3,29.6,36.0,60.5,11.5,28.4,23.5,36.3
2016.12.09 21:38:42,65.9,29.3,36.3,60.7,10.8,28.4,22.8,36.3
2016.12.09 21:38:43,66.4,29.0,36.5,60.9,10.1,28.4,22.1,36.3
2016.12.09 21:38:44,66.9,28.7,36.7,61.1,9.5,28.4,21.3,36.3
2016.12.09 21:38:46,66.0,28.4,36.8,61.3,9.5,28.4,20.6,36.3
2016.12.09 21:38:47,64.6,28.0,36.8,61.4,9.7,28.4,19.9,36.3
2016.12.09 21:38:48,63.0,27.7,35.0,61.5,10.5,28.4,19.2,0.0
2016.12.09 21:38:49,63.4,27.5,32.1,61.6,11.1,28.4,18.5,0.0
2016.12.09 21:38:50,63.9,27.4,29.7,61.6,11.8,28.4,17.9,0.0
2016.12.09 21:38:51,64.5,27.3,27.8,61.7,12.5,28.4,17.1,36.3
2016.12.09 21:38:52,65.1,27.3,28.2,61.8,13.3,28.4,17.5,36.3
2016.12.09 21:38:53,65.6,27.4,28.6,62.0,13.9,28.4,18.2,36.3
2016.12.09 21:38:54,64.9,27.6,29.0,61.2,14.7,28.4,18.9,36.3
2016.12.09 21:38:55,63.4,27.8,29.5,59.8,15.4,28.4,19.7,36.3
2016.12.09 21:38:56,61.9,27.9,29.9,58.5,15.5,28.4,20.4,36.3
2016.12.09 21:38:57,60.5,28.0,30.3,57.1,15.5,28.4,21.1,36.3
2016.12.09 21:38:58,59.2,28.0,30.6,56.0,15.5,28.4,21.8,36.3
2016.12.09 21:38:59,58.0,28.0,30.8,54.9,15.5,28.4,22.5,36.3
2016.12.09 21:39:00,56.7,28.0,31.1,53.7,15.5,28.4,23.1,36.3
2016.12.09 21:39:01,55.5,27.9,31.3,52.6,15.5,28.4,23.1,36.3
2016.12.09 21:39:02,54.9,27.8,31.4,51.9,15.5,28.4,23.1,36.3
2016.12.09 21:39:04,55.8,27.7,31.6,52.0,15.5,28.4,23.1,36.3
2016.12.09 21:39:05,56.7,27.7,31.8,52.2,15.5,28.4,23.1,36.3
2016.12.09 21:39:06,57.5,27.7,32.0,52.3,15.5,28.4,23.1,36.3
2016.12.09 21:39:07,58.3,27.7,29.8,52.5,15.5,28.4,22.3,0.0
2016.12.09 21:39:08,59.1,27.7,27.9,52.7,15.5,28.4,21.7,0.0
2016.12.09 21:39:09,59.8,27.8,26.1,53.0,15.5,28.4,20.9,0.0
2016.12.09 21:39:10,60.5,27.8,26.1,53.2,15.5,28.4,20.7,36.3
2016.12.09 21:39:11,61.2,27.9,26.8,53.5,15.5,28.4,21.5,36.3
2016.12.09 21:39:12,61.8,28.0,27.5,53.8,15.5,28.4,22.2,36.3
2016.12.09 21:39:13,62.4,28.1,28.2,54.1,15.5,28.4,22.9,36.3
2016.12.09 21:39:14,63.1,28.3,29.0,54.4,15.5,28.4,23.6,36.3
2016.12.09 21:39:15,63.7,28.4,29.8,54.7,15.5,28.4,24.3,36.3
2016.12.09 21:39:16,64.2,28.5,30.5,55.0,15.1,28.4,25.0,36.3
2016.12.09 21:39:17,64.8,28.6,31.4,55.3,14.4,28.4,25.1,36.3
2016.12.09 21:39:19,65.3,28.7,32.1,55.7,13.7,28.4,24.5,36.3
2016.12.09 21:39:20,65.8,28.7,32.7,56.0,13.0,28.4,23.8,36.3
2016.12.09 21:39:21,66.3,28.6,33.3,56.4,12.3,28.4,23.1,36.3
2016.12.09 21:39:22,66.8,28.5,33.8,56.7,11.7,28.4,22.3,36.3
2016.12.09 21:39:23,66.1,28.4,33.2,57.1,11.7,28.4,21.6,0.0
2016.12.09 21:39:24,64.6,28.2,30.5,57.4,11.7,28.4,20.9,0.0
2016.12.09 21:39:25,63.2,28.1,28.4,57.6,11.7,28.4,20.2,0.0
2016.12.09 21:39:26,63.4,27.9,26.7,57.8,11.8,28.4,19.5,36.3
2016.12.09 21:39:27,63.9,27.8,27.3,58.0,12.5,28.4,19.8,36.3
2016.12.09 21:39:28,64.5,27.8,27.9,58.2,13.2,28.4,20.5,36.3
2016.12.09 21:39:29,65.0,27.8,28.6,58.4,13.9,28.4,21.2,36.3
2016.12.09 21:39:30,65.5,27.9,29.2,58.7,14.5,28.4,21.9,36.3
2016.12.09 21:39:31,66.0,28.1,30.0,58.9,15.0,28.4,22.6,36.3
2016.12.09 21:39:32,66.5,28.3,30.7,59.2,15.0,28.4,23.3,36.3
2016.12.09 21:39:33,67.0,28.5,31.5,59.4,15.0,28.4,24.0,36.3
2016.12.09 21:39:34,65.5,28.7,32.2,59.7,14.8,28.4,23.6,36.3
2016.12.09 21:39:36,64.0,28.7,32.8,59.9,14.1,28.4,22.9,36.3
2016.12.09 21:39:37,63.0,28.7,33.1,60.0,13.4,28.4,22.2,36.3
2016.12.09 21:39:38,63.5,28.6,33.4,60.1,12.7,28.4,21.5,36.3
2016.12.09 21:39:39,64.1,28.4,31.0,60.2,12.1,28.4,20.8,0.0
2016.12.09 21:39:40,64.7,28.3,28.7,60.4,12.1,28.4,20.1,0.0
2016.12.09 21:39:41,65.3,28.2,26.8,60.5,12.1,28.4,19.3,0.0
2016.12.09 21:39:42,65.7,28.1,26.7,60.7,12.1,28.4,19.1,36.3
2016.12.09 21:39:43,66.2,28.0,27.4,60.9,12.1,28.4,19.8,36.3
2016.12.09 21:39:44,66.7,28.0,28.1,61.1,12.1,28.4,20.5,36.3
2016.12.09 21:39:45,66.7,27.9,28.8,61.3,12.1,28.4,21.1,36.3
2016.12.09 21:39:46,65.1,27.9,29.5,61.4,12.5,28.4,21.9,36.3
2016.12.09 21:39:47,63.6,27.8,30.1,61.5,13.3,28.4,22.6,36.3
2016.12.09 21:39:48,63.2,27.8,30.8,61.6,14.0,28.4,23.3,36.3
2016.12.09 21:39:49,63.8,27.9,31.4,61.7,14.7,28.4,23.6,36.3
2016.12.09 21:39:50,64.3,28.1,32.0,61.7,15.1,28.4,23.4,36.3
2016.12.09 21:39:51,64.9,28.2,32.5,61.8,15.1,28.4,22.7,36.3
2016.12.09 21:39:52,65.4,28.4,32.9,61.9,15.1,28.4,22.0,36.3
2016.12.09 21:39:53,65.0,28.5,33.3,61.4,15.1,28.4,21.3,36.3
2016.12.09 21:39:55,63.4,28.6,32.1,59.9,14.7,28.4,20.5,0.0
2016.12.09 21:39:56,61.9,28.6,29.5,58.6,13.9,28.4,19.8,0.0
2016.12.09 21:39:57,60.6,28.5,27.6,57.4,13.3,28.4,19.1,0.0
2016.12.09 21:39:58,59.4,28.4,26.2,56.2,12.6,28.4,18.5,36.3
2016.12.09 21:39:59,58.0,28.1,26.6,55.0,12.6,28.4,18.9,36.3
