date,actTempBurner,actTempFlowFloor,actTempFlowRadiator,actTempHotwater,floorHeatingMixerActPosition,floorHeatingSetFlowTemp,radiatorHeatingMixerActPosition,radiatorHeatingSetFlowTemp
2016.12.12 17:30:50,55.1,25.9,28.9,48.3,13.1,25.8,24.9,37.4
2016.12.12 17:30:51,54.6,25.8,29.3,47.4,12.5,25.8,25.6,37.4
2016.12.12 17:30:52,54.0,25.5,29.8,46.5,11.7,25.8,26.3,37.4
2016.12.12 17:30:53,53.4,25.3,30.2,45.7,11.3,25.8,27.0,37.4
2016.12.12 17:30:54,52.9,25.0,30.6,44.8,11.3,25.8,27.7,37.4
2016.12.12 17:30:55,52.4,24.7,30.9,44.1,11.3,25.8,28.4,37.4
2016.12.12 17:30:56,51.8,24.5,31.3,43.3,12.1,25.8,29.1,37.4
2016.12.12 17:30:57,51.3,24.3,31.6,42.6,12.7,25.8,29.8,37.4
2016.12.12 17:30:58,50.8,24.2,31.9,41.8,13.5,25.8,30.5,37.4
2016.12.12 17:30:59,50.3,24.1,32.1,41.2,14.1,25.8,31.2,37.4
2016.12.12 17:31:00,49.8,24.0,32.4,40.6,14.8,25.8,31.9,37.4
2016.12.12 17:31:01,49.3,23.9,32.6,39.9,15.5,25.8,32.6,37.4
2016.12.12 17:31:02,48.9,23.9,32.8,39.3,16.2,25.8,32.5,0.0
2016.12.12 17:31:03,48.4,24.0,32.9,38.7,16.9,25.8,31.8,0.0
2016.12.12 17:31:04,47.9,24.0,33.0,38.1,17.7,25.8,31.1,0.0
2016.12.12 17:31:05,47.5,24.1,33.0,37.6,18.3,25.8,30.4,0.0
2016.12.12 17:31:07,47.0,24.2,32.9,37.0,18.9,25.8,29.7,0.0
2016.12.12 17:31:08,46.6,24.2,32.8,36.5,18.9,25.8,29.0,0.0
2016.12.12 17:31:09,46.2,24.3,32.6,36.0,18.9,25.8,28.2,0.0
2016.12.12 17:31:10,45.7,24.3,32.4,35.5,18.9,25.8,27.5,0.0
2016.12.12 17:31:11,45.3,24.3,32.2,35.0,18.9,25.8,26.8,0.0
2016.12.12 17:31:12,44.9,24.3,31.9,34.5,18.9,25.8,26.0,0.0
2016.12.12 17:31:13,44.5,24.3,31.6,34.1,18.9,25.8,25.4,0.0
2016.12.12 17:31:14,44.1,24.3,31.3,33.7,18.9,25.8,24.6,0.0
