date,actHumidityOutdoor,actTempOutdoor,rainHourly,relativePressure,solarRadiation,uvRadiation,uvRadiationIndex,windDirection,windSpeed
2016.04.14 00:00:00,96.00,8.03,0.00,1000.00,0.00,2.00,0.00,96.00,0.00
2016.04.14 01:00:00,97.25,8.03,0.00,1000.00,0.00,2.00,0.00,97.25,0.45
2016.04.14 02:00:00,96.75,7.90,0.00,1000.00,0.00,2.00,0.00,96.75,0.00
2016.04.14 03:00:00,90.25,8.23,0.00,1000.00,0.00,2.00,0.00,90.25,4.05
2016.04.14 04:00:00,90.75,8.30,0.45,1000.00,0.00,2.00,0.00,90.75,7.40
2016.04.14 05:00:00,92.75,8.10,0.00,1000.00,0.00,2.00,0.00,92.75,6.85
2016.04.14 06:00:00,92.00,7.98,0.00,1000.00,1.87,14.75,0.00,92.00,4.15
2016.04.14 07:00:00,90.50,7.83,0.00,1000.00,33.65,152.50,0.50,90.50,6.40
2016.04.14 08:00:00,89.00,8.05,0.00,1000.00,64.41,234.50,1.00,89.00,2.73
2016.04.14 09:00:00,85.50,8.53,0.00,1000.00,151.24,642.75,1.50,85.50,5.30
2016.04.14 10:00:00,81.00,9.03,0.00,1000.00,106.25,432.25,1.25,81.00,9.90
2016.04.14 11:00:00,81.25,8.83,0.00,1000.00,174.04,874.00,2.50,81.25,2.23
2016.04.14 12:00:00,75.50,9.90,0.00,1000.00,216.41,1010.25,2.75,75.50,5.95
2016.04.14 13:00:00,76.25,9.93,0.00,1000.00,206.57,990.50,2.50,76.25,9.65
2016.04.14 14:00:00,74.25,10.18,0.00,1000.00,306.17,1328.50,3.25,74.25,12.03
2016.04.14 15:00:00,72.50,10.15,0.00,1000.00,311.41,1074.75,2.50,72.50,11.28
2016.04.14 16:00:00,66.00,11.63,0.00,1000.00,416.33,944.00,2.50,66.00,11.88
2016.04.14 17:00:00,60.75,12.60,0.00,1000.00,504.17,724.50,2.00,60.75,12.95
2016.04.14 18:00:00,60.25,12.33,0.00,1000.00,284.07,362.50,1.00,60.25,7.40
2016.04.14 19:00:00,68.25,10.45,0.00,1000.00,62.84,94.25,0.50,68.25,2.60
2016.04.14 20:00:00,80.25,7.95,0.00,1000.00,0.16,3.25,0.00,80.25,0.10
2016.04.14 21:00:00,81.50,6.60,0.00,1000.00,0.00,2.00,0.00,81.50,0.00
2016.04.14 22:00:00,86.00,5.33,0.00,1000.00,0.00,2.00,0.00,86.00,0.00
2016.04.14 23:00:00,89.75,4.55,0.00,1000.00,0.00,2.00,0.00,89.75,0.00
2016.04.15 00:00:00,94.25,4.10,0.00,1000.00,0.00,2.00,0.00,94.25,0.00
2016.04.15 01:00:00,91.00,3.78,0.00,1000.00,0.00,2.00,0.00,91.00,0.00
2016.04.15 02:00:00,93.25,2.50,0.00,1000.00,0.00,2.00,0.00,93.25,0.00
2016.04.15 03:00:00,93.50,2.00,0.00,1000.00,0.00,2.00,0.00,93.50,0.00
2016.04.15 04:00:00,94.50,1.53,0.00,1000.00,0.00,2.00,0.00,94.50,0.18
